"Country","Country_work","gender","Location","what_participant_group","field_research","type.grant","number"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","4-6"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","0"
"Canada","","","Alberta","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","external_pi_grant_6_10_fundamental","0"
"Israel","","","Israel","","","external_pi_grant_6_10_fundamental","0"
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","0"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_6_10_fundamental","0"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","0"
"Poland","","","Poland","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","0"
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","0"
"","","","","","","external_pi_grant_6_10_fundamental","0"
"Chile","","","Chile","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","7-9"
"Australia","","","Australia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_6_10_fundamental","0"
"Israel","","","Israel","","","external_pi_grant_6_10_fundamental","0"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","4-6"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_6_10_fundamental","0"
"Serbia","","","Serbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_6_10_fundamental","0"
"Serbia","","","Serbia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_6_10_fundamental","0"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","0"
"Serbia","","","Serbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_6_10_fundamental","0"
"Israel","","","Israel","","","external_pi_grant_6_10_fundamental","0"
"USA","","","Texas","","","external_pi_grant_6_10_fundamental","0"
"Brazil","","","Brazil","","","external_pi_grant_6_10_fundamental","0"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_6_10_fundamental","0"
"France","","","France","","","external_pi_grant_6_10_fundamental","0"
"Israel","","","Israel","","","external_pi_grant_6_10_fundamental","0"
"Israel","","","Israel","","","external_pi_grant_6_10_fundamental","0"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","1-3"
"Poland","","","Poland","","","external_pi_grant_6_10_fundamental","0"
"Poland","","","Poland","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","7-9"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","1-3"
"Serbia","","","Serbia","","","external_pi_grant_6_10_fundamental","0"
"Singapore","","","Singapore","","","external_pi_grant_6_10_fundamental","0"
"Poland","","","Poland","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","external_pi_grant_6_10_fundamental","0"
"USA","","","California","","","external_pi_grant_6_10_fundamental","0"
"Poland","","","Poland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_6_10_fundamental","0"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","1-3"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_6_10_fundamental","0"
"Israel","","","Israel","","","external_pi_grant_6_10_fundamental","0"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","4-6"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_6_10_fundamental","0"
"Israel","","","Israel","","","external_pi_grant_6_10_fundamental","0"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_6_10_fundamental","0"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","0"
"Israel","","","Israel","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","external_pi_grant_6_10_fundamental","0"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","1-3"
"USA","","","California","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","0"
